item_id,item_price,item_title,item_code,product_name,brand,vendor_product_number,unit_of_measurement,product_type,kode_kbki,tkdn(%),valid_until,product_url,model_/_type,nomor_izin_edar_(akd/akl/lainnya),jenis_produk_sesuai_izin_edar,fungsi,negara_asal_produk,negara_pabrikan,spesifikasi_produk_secara_singkat,informasi_lainnya,supplier
1255866,10447474,MAK MANUAL ECONOMIC SUPRAMAK BED 73007,4818001002-AK1-000924791,Manual Economic Supramak Bed 73007,MAK,73007,unit,lokal,4818001002,97,5/10/2023,,73007,AKD 10902910223,Manual adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,manual 1 crank - diagonal lock,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256062,21655291,MAK SOTAMAK MANUAL BED 77001,4818001002-AK1-000926137,Sotamak Manual Bed 77001,MAK,77001,unit,lokal,4818001002,95,5/10/2023,,77001,AKD 10902910623,Manual adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,manual 3 crank - side guard made of ABS plastic,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1255845,2785993,MAK WHEELCHAIR 31305,4993000002-AK1-000924655,Wheelchair 31305,MAK,31305,unit,lokal,4993000002,93,5/10/2023,,31305,AKD 11402910192,Mechanical wheelchair,transfer pasien,Indonesia,Indonesia,"Made of mild steel pipe (Ø25.4mm), assembled with MIG welding process","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256681,8125813,MAK ANESTHESIA TROLLEY 36604,4818001005-AK1-000931166,Anesthesia Trolley 36604,MAK,36604,unit,lokal,4818001005,91,5/10/2023,,36604,AKD 10404910678,"Anesthetic cabinet, table, or tray",Rak Alat-Alat,Indonesia,Indonesia,Three drawers with lock and key,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1255995,22365333,MAK MULTI FUNCTIONAL CHAIR 31309,4811004008-AK1-000925640,Multi Functional Chair 31309,MAK,31309,unit,lokal,4811004008,90,5/10/2023,,31309,AKD 10903910461,Manual patient transfer device,Meja Periksa/Tindakan,Indonesia,Indonesia,"Combined between steel sheet (thickness 3,8 mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1251597,191712,OTTI INFUS PUMP,4815000041-AK1-000887052,Infus Pump,OTTI,S1-0001,unit,lokal,4815000041,90,15/06/2025,,S1-0001,20902020936,Infusion Pump,Monitoring tetes Infus,Indonesia,Indonesia,"Type : SI-0001 Baterai : 4,5 Volt Sensor Tetesan : Internal Rentang Kerja : Dewasa 3 – 150 tetes/menit, Anak 3 – 100 tetes/menit Resolusi tetes : 3 tetes/menit (macro dan micro) Volume infus : 0,1 s/d 1500 ml Akurasi : + 5% Mode : Tetes/menit dan volume Alarm : Piezo Buzzer Sertifikasi : SNI Ukuran : 68 X 62 X 29 Milimeter Kemasan : Karton dan Plastik",Sistem monitoring sensor infus yang berbasis mikrokontroler untuk membantu pasien rawat inap di rumah sakit untuk termonitor dengan data yang ada pada LED dan bunyi alarm. Secara umum Alat ini fungsinya untuk memantau tetesan cairan infus secara real time,418207
1251485,37300000,INKA INKA PASS BOX,4815000048-AK1-000886275,INKA Pass Box,INKA,1,unit,lokal,4815000048,90,19/08/2024,,Arjuna,KEMENKES RI AKD 20903910686,ULTRAVIOLET (UV) RADIATION CHAMBER DISINFECTION DEVICE,Menjaga ruang operasi dan ruang bersih tetap steril serta menjaga aliran udara kotor dan bersih tidak bersatu dengan meminimalisir kontaminasi pengangkutan barang dari ruang bersih ke ruang kotor,Indonesia,Indonesia,"Stainless Steel 304 Tebal 1,2 mm, Kaca 2 sisi ukuran 350x350 mm, Ukuran unit 750x750x620 mm, Power Input 220V/350 watt/1 phase, switch On/Off, Interlock automatis pintu satu sisi, Lampu ultraviolet 24VDC dan berat unit 63kg.",,418074
1261467,900000,BONEFILL BONEFILL ORTHO,2111100002-AK1-000967292,BONEFILL ORTHO,BONEFILL,PT.Phapros Tbk,bottle,lokal,2111100002,89,25/03/2024,,Non Elektromedik Steril/C,AKD21302910196,Resorbable Calcium Salt Bone Void Filler Device,Peralatan Ortopedi Prostetik Bone Filler,Indonesia,PT.Phapros Tbk,Bonefill Ortho produk untuk pengisian tulang yang diperlukan oleh bedah orthopedi,Produk dalam negeri berasal dari universitas negeri,231134
1255906,8435368,MAK BLOOD DONOR CHAIR 31306,4811004008-AK1-000925136,Blood Donor Chair 31306,MAK,31306,unit,lokal,4811004008,88,20/05/2024,,31306,AKD 10903910464,Medical chair and table,Meja Periksa/Tindakan,Indonesia,Indonesia,"Combined between steel sheet (thickness 1,8 mm & 2,8mm & 3,8 mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256428,6415523,MAK MANUAL EXAMINATION TABLE 34105,4811004008-AK1-000929083,Manual Examination Table 34105,MAK,34105,unit,lokal,4811004008,87,5/10/2023,,34105,AKD 10903910681,Medical chair and table,Meja Periksa/Tindakan,Indonesia,Indonesia,"Made of stainless steel tube (square profile, size 25x25mm; 25x50mm)","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1255866,10447474,MAK MANUAL ECONOMIC SUPRAMAK BED 73007,4818001002-AK1-000924791,Manual Economic Supramak Bed 73007,MAK,73007,unit,lokal,4818001002,97,5/10/2023,,73007,AKD 10902910223,Manual adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,manual 1 crank - diagonal lock,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1256062,21655291,MAK SOTAMAK MANUAL BED 77001,4818001002-AK1-000926137,Sotamak Manual Bed 77001,MAK,77001,unit,lokal,4818001002,95,5/10/2023,,77001,AKD 10902910623,Manual adjustable hospital bed,Tempat Tidur,Indonesia,Indonesia,manual 3 crank - side guard made of ABS plastic,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik ,minimal charge ongkos kirim 3-5 kubik",242976
1255845,2785993,MAK WHEELCHAIR 31305,4993000002-AK1-000924655,Wheelchair 31305,MAK,31305,unit,lokal,4993000002,93,5/10/2023,,31305,AKD 11402910192,Mechanical wheelchair,transfer pasien,Indonesia,Indonesia,"Made of mild steel pipe (Ø25.4mm), assembled with MIG welding process","Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
1256681,8125813,MAK ANESTHESIA TROLLEY 36604,4818001005-AK1-000931166,Anesthesia Trolley 36604,MAK,36604,unit,lokal,4818001005,91,5/10/2023,,36604,AKD 10404910678,"Anesthetic cabinet, table, or tray",Rak Alat-Alat,Indonesia,Indonesia,Three drawers with lock and key,"Biaya ONGKIR yang terlampir adalah untuk per 1 meter kubik, minimal charge ongkos kirim 3-5 kubik",242976
